Nome	Categoria	Porção Média	Calorias	Carboidratos	Proteína	Gordura	Saturada	MUF	PUF	Fibra	A	B1	B2	B3	B5	B6	B9	B12	C	D	E	K	K2	Sódio	Potássio	Cálcio	Selenio	Fósforo	Zinco	Ferro	Mercurio	Cádmio	Chumbo	Cobre	Manganês	Magnésio	Choline	Omega 	Omega 	Creatina	Carnosina	Taurina	Glutathione	Glycine	Astaxanthin	Licopeno	Oleic Acid	Linoleic Acid	Lutein	Zeaxantina	Coenzima Q10	Sulforafano	Resveratrol	Quercetina	Curcumina	L-Teanina	Carnitina	Antocianinas	Isoflavonas	Catequinas	Ácido clorogenico	Ácido cafeico	Outros estilbenos	Lignanas	Fisetina	Apigenina	Ácido Elágico	Nitratos Naturais	Capsaicina	Hesperidina	Naringenina	Ácido Ursólico	Indol-3-Carbinol	DIM	Beta-Glucanas
Unidade		g	kcal	g	g	g	g	g	g	g	mcg	mg	mg	mg	mg	mg	mcg	mcg	mg	mcg	mg	mcg	mcg	mg	mg	mg	mcg	mg	mg	mg	mcg	mcg	mcg	mg	mg	mg	mg	g	g	mg	mg	mg	mg	mg	mg	mg	g	g	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	g
Recomendado		100	2000	130	56	44	0	0	0	25	900	1.2	1.3	16	5	1.3	400	2.4	90	15	15	120	0	1500	3400	1000	55	700	11	8	0	0	0	0.9	2.3	400	550	1.6	17	3000	500	1000	250	3000	4	10	20	12	10	2	100	10	100	500	500	200	1000	100	50	250	150	50	50	50	100	50	100	350	15	200	50	150	200	100	3
Máximo Recomendado		100	0	0	0	0	22	0	0	0	3000	0	0	35	0	100	1000	0	2000	100	1000	0	0	2300	0	2500	400	4000	40	45	7	25	10	10	11	350	3500	3	0	10000	2000	3000	1000	15000	12	75	45	17	20	10	1200	100	500	1000	2000	1200	3000	1000	150	800	1000	500	300	300	2000	1000	1000	2000	150	2000	500	1000	800	300	15
Carne Moída (patinho)		100	219	0	28	11	4.5	4.8	0.4	0	0	0.08	0.2	5.5	0.6	0.4	8	2.5	0	0.1	0.2	1.5	1.1	60	350	12	22	220	6.2	3	0.1	0.1	0.5	0.1	0.01	22	85	0.05	0.35	350	350	40	12	1800	0	0	4.1	0.3	0	0	3.1	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peito de Frango		100	165	0	31	3.6	1	1.2	0.8	0	5	0.07	0.12	13.7	1.5	0.9	4	0.3	0	0.1	0.3	0	0.2	74	256	15	27	228	1	1	0.05	0.05	0.3	0.05	0.01	29	85	0.06	0.65	300	250	30	10	1200	0	0	1.1	0.6	0	0	1.4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxa de Frango		100	184	0	24	9	2.5	3.6	2.1	0	12	0.08	0.22	6.5	1.2	0.35	8	0.4	0	0.1	0.3	0	0.5	85	240	11	22	190	2	1.3	0.05	0.05	0.3	0.08	0.01	23	75	0.1	1.8	250	150	70	8	1500	0	0	3.2	1.6	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caranguejo		100	97	0	19	1.5	0.2	0.3	0.6	0	4	0.05	0.07	2.7	0.3	0.15	44	9	3	0.1	2.5	0	0	539	259	89	44	218	4.1	0.7	0.5	0.5	0.8	0.7	0.03	48	70	0.45	0.05	0	0	250	5	1100	0.1	0	0.2	0.03	0	0	0.5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovos		100	155	1.1	12.6	10.6	3.3	4.1	1.9	0	149	0.07	0.51	0.07	1.4	0.12	44	1.1	0	2.2	1	0.3	15	124	126	50	31	172	1.1	1.2	0.02	0.01	0.05	0.06	0.03	10	294	0.11	1.1	0	0	0	5	400	0	0	3.5	1	0.35	0.25	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bode		100	143	0	27	3	0.9	1.1	0.2	0	0	0.1	0.25	4	0.5	0.3	5	1.2	0	0.1	0.2	0	0.5	80	380	15	25	200	5.3	3.7	0.05	0.05	0.4	0.2	0.02	24	80	0.05	0.15	350	280	35	10	1600	0	0	1	0.1	0	0	2.5	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carneiro		100	258	0	25	16.5	6.9	7.2	1.1	0	0	0.11	0.24	6.2	0.65	0.15	18	2.6	0	0.1	0.2	0	1.5	72	280	17	26	190	4.5	1.9	0.05	0.05	0.4	0.12	0.02	22	80	0.15	0.4	400	300	45	10	1700	0	0	6.5	0.35	0	0	3	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
